currency,nace_r2,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
MIO_EUR,A,DK03	411.51 	399.00 	387.75 	377.59 	352.39 	354.08 	320.24 	297.49 	300.20 	304.98 	308.18 	299.04 	288.11 	283.35 
MIO_EUR,A,DK04	388.45 	364.07 	358.36 	355.83 	326.61 	323.50 	310.58 	296.28 	296.71 	287.91 	278.30 	273.60 	260.46 	253.43 
MIO_EUR,A,DK05	228.08 	215.35 	213.00 	208.53 	189.09 	187.37 	175.56 	171.60 	169.09 	167.34 	164.18 	166.48 	159.28 	154.15 
MIO_EUR,A,DKZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,A,DKZZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,A,EE	189.70 	170.60 	173.50 	159.00 	153.40 	189.30 	164.60 	138.50 	124.00 	103.90 	100.20 	95.50 	93.40 	84.80 
MIO_EUR,A,EE0	189.70 	170.60 	173.50 	159.00 	153.40 	189.30 	164.60 	138.50 	124.00 	103.90 	100.20 	95.50 	93.40 	84.80 
MIO_EUR,A,EE00	189.70 	170.60 	173.50 	159.00 	153.40 	189.30 	164.60 	138.50 	124.00 	103.90 	100.20 	95.50 	93.40 	84.80 
MIO_EUR,A,EL	819.78 	861.68 	923.77 	966.58 	969.96 	1123.58 	1228.15 	1215.69 	1164.23 	1136.64 	1153.93 	924.73 	779.61 	700.62 
MIO_EUR,A,EL3	44.42 	47.26 	54.09 	55.96 	53.58 	61.67 	69.09 	64.16 	45.64 	42.08 	42.69 	37.21 	29.90 	30.06 
MIO_EUR,A,EL30	44.42 	47.26 	54.09 	55.96 	53.58 	61.67 	69.09 	64.16 	45.64 	42.08 	42.69 	37.21 	29.90 	30.06 
MIO_EUR,A,EL4	97.99 	108.20 	118.54 	126.56 	130.31 	155.51 	170.87 	181.45 	152.82 	164.70 	151.88 	127.04 	98.91 	90.66 
MIO_EUR,A,EL41	16.75 	16.67 	18.49 	19.48 	19.47 	20.62 	22.06 	29.93 	21.81 	23.44 	30.25 	18.00 	19.38 	14.83 
MIO_EUR,A,EL42	19.68 	20.86 	23.10 	23.11 	23.99 	27.74 	29.69 	29.44 	23.00 	21.11 	21.35 	17.40 	14.97 	13.41 
MIO_EUR,A,EL43	61.56 	70.67 	76.95 	83.97 	86.84 	107.15 	119.12 	122.09 	108.01 	120.15 	100.28 	91.64 	64.55 	62.41 
MIO_EUR,A,EL5	307.52 	307.87 	340.60 	337.02 	344.10 	402.57 	447.44 	416.17 	426.96 	412.79 	406.20 	334.47 	290.40 	256.06 
MIO_EUR,A,EL51	64.71 	66.16 	72.57 	74.22 	71.34 	82.58 	99.00 	86.61 	94.12 	91.33 	96.85 	71.30 	66.79 	58.80 
MIO_EUR,A,EL52	174.99 	172.00 	190.87 	184.87 	193.25 	232.15 	250.31 	231.88 	239.69 	232.00 	217.71 	185.05 	158.74 	140.87 
MIO_EUR,A,EL53	31.62 	31.63 	35.99 	34.14 	35.79 	41.52 	46.81 	43.37 	41.88 	39.86 	39.40 	35.58 	28.31 	24.99 
MIO_EUR,A,EL54	36.20 	38.09 	41.17 	43.79 	43.72 	46.31 	51.32 	54.32 	51.27 	49.60 	52.24 	42.53 	36.57 	31.41 
MIO_EUR,A,EL6	369.85 	398.35 	410.55 	447.04 	441.98 	503.84 	540.75 	553.90 	538.81 	517.07 	553.17 	426.01 	360.40 	323.85 
MIO_EUR,A,EL61	111.60 	114.91 	119.82 	128.84 	128.30 	144.72 	141.43 	140.61 	156.08 	153.37 	165.02 	121.00 	95.87 	94.80 
MIO_EUR,A,EL62	13.81 	15.67 	16.75 	17.29 	16.58 	17.73 	22.04 	21.02 	21.91 	18.01 	20.99 	16.61 	13.51 	11.70 
MIO_EUR,A,EL63	92.97 	99.04 	103.99 	114.29 	110.70 	125.62 	140.80 	136.08 	129.36 	127.56 	129.76 	106.98 	90.78 	77.74 
MIO_EUR,A,EL64	77.16 	84.80 	86.75 	94.57 	93.96 	105.97 	118.04 	123.97 	124.50 	114.77 	124.95 	97.01 	85.09 	81.21 
MIO_EUR,A,EL65	74.30 	83.94 	83.24 	92.05 	92.44 	109.80 	118.44 	132.22 	106.96 	103.37 	112.44 	84.40 	75.15 	58.40 
MIO_EUR,A,ES	4401.00 	4351.00 	4930.00 	4887.00 	4509.00 	4524.00 	4551.00 	4297.00 	4118.00 	3950.00 	3764.00 	3713.00 	3661.00 	3444.00 
MIO_EUR,A,ES1	489.60 	534.50 	565.00 	543.30 	570.10 	544.50 	614.90 	579.60 	580.80 	566.80 	548.80 	598.70 	602.30 	600.60 
MIO_EUR,A,ES11	401.10 	454.70 	471.10 	452.80 	486.40 	456.20 	511.60 	474.60 	474.30 	462.50 	447.30 	490.60 	489.70 	488.80 
MIO_EUR,A,ES12	47.50 	45.40 	54.90 	54.70 	49.20 	51.80 	59.80 	58.10 	59.10 	56.30 	51.60 	53.20 	55.00 	54.20 
MIO_EUR,A,ES13	41.10 	34.30 	38.90 	35.80 	34.50 	36.60 	43.50 	46.90 	47.40 	48.10 	49.90 	54.90 	57.60 	57.60 
MIO_EUR,A,ES2	346.80 	314.70 	354.30 	341.20 	308.10 	299.80 	332.10 	327.60 	333.10 	340.20 	337.60 	342.80 	345.10 	338.80 
MIO_EUR,A,ES21	74.70 	66.00 	80.90 	74.70 	77.10 	85.60 	100.70 	106.00 	109.90 	102.90 	96.70 	102.10 	99.80 	91.30 
MIO_EUR,A,ES22	49.60 	52.30 	53.90 	56.70 	51.10 	49.10 	49.80 	49.70 	52.90 	54.90 	54.70 	54.40 	53.90 	54.30 
MIO_EUR,A,ES23	39.30 	40.30 	43.70 	44.40 	34.80 	31.30 	35.20 	38.00 	35.30 	39.60 	41.50 	42.40 	43.10 	43.40 
MIO_EUR,A,ES24	183.20 	156.10 	175.90 	165.40 	145.10 	133.70 	146.40 	134.00 	134.90 	142.80 	144.70 	143.90 	148.40 	149.80 
MIO_EUR,A,ES3	35.10 	42.40 	40.80 	37.70 	46.00 	52.30 	50.40 	56.40 	45.80 	42.10 	39.60 	40.10 	36.30 	36.30 
MIO_EUR,A,ES30	35.10 	42.40 	40.80 	37.70 	46.00 	52.30 	50.40 	56.40 	45.80 	42.10 	39.60 	40.10 	36.30 	36.30 
MIO_EUR,A,ES4	799.60 	827.60 	876.30 	853.80 	762.60 	797.70 	815.70 	764.80 	770.40 	773.40 	749.10 	742.80 	753.80 	740.70 
MIO_EUR,A,ES41	260.60 	281.30 	301.20 	285.20 	255.20 	274.70 	283.70 	256.90 	274.20 	281.80 	268.00 	268.90 	277.20 	280.30 
MIO_EUR,A,ES42	331.00 	343.50 	347.20 	350.20 	302.90 	313.80 	338.70 	310.80 	292.60 	321.30 	316.80 	315.80 	322.20 	320.40 
MIO_EUR,A,ES43	208.00 	202.80 	227.90 	218.40 	204.50 	209.20 	193.30 	197.00 	203.60 	170.30 	164.30 	158.20 	154.40 	140.10 
MIO_EUR,A,ES5	670.10 	661.70 	777.90 	780.40 	738.90 	782.20 	774.90 	757.60 	737.30 	660.10 	606.90 	596.60 	584.30 	536.00 
MIO_EUR,A,ES51	282.50 	292.80 	372.50 	391.70 	369.70 	368.70 	363.80 	379.40 	351.80 	293.20 	284.30 	278.60 	276.50 	249.30 
MIO_EUR,A,ES52	357.70 	340.00 	372.70 	360.10 	340.50 	380.60 	375.10 	348.70 	349.70 	330.20 	290.40 	284.40 	274.60 	253.90 
MIO_EUR,A,ES53	29.90 	28.90 	32.70 	28.60 	28.80 	33.00 	36.10 	29.50 	35.80 	36.60 	32.20 	33.50 	33.10 	32.70 
MIO_EUR,A,ES6	1901.90 	1819.20 	2127.80 	2141.70 	1908.00 	1882.40 	1794.50 	1660.50 	1523.30 	1443.00 	1364.00 	1278.50 	1232.30 	1093.40 
MIO_EUR,A,ES61	1454.30 	1386.80 	1650.40 	1656.80 	1500.60 	1486.20 	1413.20 	1338.30 	1223.10 	1142.60 	1093.00 	1023.10 	999.00 	879.70 
MIO_EUR,A,ES62	444.80 	429.80 	474.40 	482.10 	404.60 	392.90 	377.90 	319.20 	297.40 	297.90 	268.50 	252.90 	230.90 	211.30 
MIO_EUR,A,ES63	2.20 	1.90 	2.20 	2.10 	2.00 	2.50 	2.70 	2.30 	2.20 	2.00 	1.60 	1.60 	1.40 	1.30 
MIO_EUR,A,ES64	0.70 	0.70 	0.80 	0.80 	0.80 	0.80 	0.60 	0.70 	0.50 	0.60 	0.80 	0.90 	1.00 	1.10 
MIO_EUR,A,ES7	157.90 	150.80 	187.80 	188.80 	175.20 	165.00 	168.60 	150.50 	127.20 	124.40 	118.00 	113.60 	107.00 	98.10 
MIO_EUR,A,ES70	157.90 	150.80 	187.80 	188.80 	175.20 	165.00 	168.60 	150.50 	127.20 	124.40 	118.00 	113.60 	107.00 	98.10 
MIO_EUR,A,ESZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
